Date,Value,temp
1/20/2019,910184,2.6
1/21/2019,952706,2.3
1/22/2019,963086,2.6
1/23/2019,977663,0.2
1/24/2019,977425,2.2
1/25/2019,905660,6.2
1/26/2019,845763,7.8
1/27/2019,847648,4.6
1/28/2019,976571,2.3
1/29/2019,1011251,1.7
1/30/2019,1011303,0.6
1/31/2019,1050521,-1.8
2/1/2019,1022515,-0.8
2/2/2019,933013,0.9
2/3/2019,933279,0.8
2/4/2019,954907,3.6
2/5/2019,990168,4.2
2/6/2019,972170,5.9
2/7/2019,968822,7.1
2/8/2019,947626,7.6
2/9/2019,854593,7.4
2/10/2019,866214,5.2
2/11/2019,953609,4.6
2/12/2019,959162,5.3
2/13/2019,958501,7.4
2/14/2019,966162,6.2
2/15/2019,954847,7.3
2/16/2019,832964,7.6
2/17/2019,787933,9.7
2/18/2019,899576,8.2
2/19/2019,952070,6.7
2/20/2019,933448,8.7
2/21/2019,932661,11.2
2/22/2019,920857,9.6
2/23/2019,836834,10.5
2/24/2019,836860,9.3
2/25/2019,917910,9.3
2/26/2019,904601,9.8
2/27/2019,896865,8.4
2/28/2019,899909,7
3/1/2019,924001,7.8
3/2/2019,822636,9.4
3/3/2019,794782,9.3
3/4/2019,899684,6.3
3/5/2019,924997,6.5
3/6/2019,941147,9
3/7/2019,934924,6.9
3/8/2019,944921,5.4
3/9/2019,818663,7.7
3/10/2019,852309,5.8
3/11/2019,936927,5.5
3/12/2019,963727,6.7
3/13/2019,938945,6.9
3/14/2019,915075,9.4
3/15/2019,900051,9.9
3/16/2019,849365,9.4
3/17/2019,834748,5.8
3/18/2019,908032,6.4
3/19/2019,925757,8.5
3/20/2019,872633,10.5
3/21/2019,893895,10
3/22/2019,882820,10.1
3/23/2019,809375,7.9
3/24/2019,779269,6.2
3/25/2019,870508,8.1
3/26/2019,900257,5.9
3/27/2019,899639,8.6
3/28/2019,857581,8.9
3/29/2019,862096,7.5
3/30/2019,793358,8.1
3/31/2019,747419,8.2
4/1/2019,830746,7.1
4/2/2019,930719,6
4/3/2019,929090,3.6
4/4/2019,919842,4.9
4/5/2019,857648,7.9
4/6/2019,813026,7.8
4/7/2019,784692,9.2
4/8/2019,832173,9.1
4/9/2019,843547,8.6
4/10/2019,857675,6.2
4/11/2019,863722,4.8
4/12/2019,875573,5
4/13/2019,804861,4.2
4/14/2019,792653,3.6
4/15/2019,854540,7.6
4/16/2019,847562,9.5
4/17/2019,817071,11.3
4/18/2019,802720,13
4/19/2019,715930,14.3
4/20/2019,674787,14.5
4/21/2019,644158,14.4
4/22/2019,682756,14.5
4/23/2019,758436,14.2
4/24/2019,784573,12.8
4/25/2019,797183,11.1
4/26/2019,800393,9.4
4/27/2019,743698,8.6
4/28/2019,743189,9.5
4/29/2019,849778,9.3
4/30/2019,841612,10.2
5/1/2019,831403,11
5/2/2019,832153,9.9
5/3/2019,853813,8.5
5/4/2019,737287,6.7
5/5/2019,748761,6.4
5/6/2019,764884,7.4
5/7/2019,831814,8.7
5/8/2019,852154,9.4
5/9/2019,835908,9.2
5/10/2019,847247,9.6
5/11/2019,749889,9.8
5/12/2019,735982,8.7
5/13/2019,761431,10.3
5/14/2019,774010,11.9
5/15/2019,800783,12.3
5/16/2019,806976,10.9
5/17/2019,814173,11.9
5/18/2019,757304,12.5
5/19/2019,721295,11.6
5/20/2019,794260,12.7
5/21/2019,691626,12
5/22/2019,794781,12.7
5/23/2019,786776,13.1
5/24/2019,766542,12.8
5/25/2019,702866,14.3
5/26/2019,632358,15.5
5/27/2019,675312,12.2
5/28/2019,774956,11.6
5/29/2019,811920,11
5/30/2019,780970,15.7
5/31/2019,765762,15.3
6/1/2019,697800,16.3
6/2/2019,663420,17.7
6/3/2019,710051,13.8
6/4/2019,784379,12.3
6/5/2019,773291,12.9
6/6/2019,775237,11.5
6/7/2019,777147,11.4
6/8/2019,685879,12.6
6/9/2019,685560,12.5
6/10/2019,793174,11.1
6/11/2019,771487,10.2
6/12/2019,813849,11
6/13/2019,476534,11.7
6/14/2019,802834,12.9
6/15/2019,725094,12.9
6/16/2019,697137,13.3
6/17/2019,751904,15
6/18/2019,783686,13.7
6/19/2019,786355,15.2
6/20/2019,743172,13.6
6/21/2019,755682,13.4
6/22/2019,699900,13.9
6/23/2019,648996,16.2
6/24/2019,758940,18.2
6/25/2019,763663,17
6/26/2019,769726,15
6/27/2019,785436,16.2
6/28/2019,747433,17.1
6/29/2019,713562,21.7
6/30/2019,639927,17.1
7/1/2019,729521,15.4
7/2/2019,772668,13.3
7/3/2019,773148,14.4
7/4/2019,764326,15.6
7/5/2019,760653,18
7/6/2019,685961,15.7
7/7/2019,672419,15.5
7/8/2019,751484,15.3
7/9/2019,773579,17.1
7/10/2019,792493,18.5
7/11/2019,761621,18.5
7/12/2019,785294,17.7
7/13/2019,703262,16.5
7/14/2019,687113,16.2
7/15/2019,775514,15.4
7/16/2019,789787,17.1
7/17/2019,776345,17.2
7/18/2019,761001,17.2
7/19/2019,740160,15.3
7/20/2019,679925,17.3
7/21/2019,675229,16.5
7/22/2019,702729,20.6
7/23/2019,760939,22.5
7/24/2019,608375,23.1
7/25/2019,633909,25.2
7/26/2019,738880,20.7
7/27/2019,698318,16.2
7/28/2019,669935,16.7
7/29/2019,730059,17.6
7/30/2019,735915,16.8
7/31/2019,723128,18
8/1/2019,727839,18.5
8/2/2019,725152,17.9
8/3/2019,700055,18.3
8/4/2019,684419,19
8/5/2019,764355,18.7
8/6/2019,746906,17.6
8/7/2019,731306,17.1
8/8/2019,749466,17.5
8/9/2019,730340,19.5
8/10/2019,648784,17.6
8/11/2019,622380,15.7
8/12/2019,745227,14.3
8/13/2019,763851,14.1
8/14/2019,780210,13.9
8/15/2019,747710,16.5
8/16/2019,748980,13.7
8/17/2019,617246,16.7
8/18/2019,594400,15.8
8/19/2019,713196,15.3
8/20/2019,753442,14.3
8/21/2019,779976,15.5
8/22/2019,746112,16.2
8/23/2019,753096,19
8/24/2019,690803,18.9
8/25/2019,676906,21.7
8/26/2019,654421,19.9
8/27/2019,745597,20.1
8/28/2019,715382,17.2
8/29/2019,706760,14.7
8/30/2019,685207,17.5
8/31/2019,634094,16.4
9/1/2019,624577,13.4
9/2/2019,735283,13.6
9/3/2019,734999,16.5
9/4/2019,734781,15.4
9/5/2019,734556,13
9/6/2019,720303,13.6
9/7/2019,670379,13.2
9/8/2019,675899,10.8
9/9/2019,771223,12.2
9/10/2019,794592,13
9/11/2019,751982,16.6
9/12/2019,772243,16.5
9/13/2019,754116,13.4
9/14/2019,689932,12.9
9/15/2019,652149,15.8
9/16/2019,764790,15
9/17/2019,747454,12.2
9/18/2019,777432,11.4
9/19/2019,774094,13.5
9/20/2019,750951,14.2
9/21/2019,655490,16.8
9/22/2019,692170,16.7
9/23/2019,712274,15.7
9/24/2019,732126,16.1
9/25/2019,772773,15.9
9/26/2019,747696,16.1
9/27/2019,761376,14.1
9/28/2019,689609,14
9/29/2019,708479,14.6
9/30/2019,792555,12.5
10/1/2019,766747,13.9
10/2/2019,765680,8.1
10/3/2019,825423,7.3
10/4/2019,772352,10.8
10/5/2019,767454,12
10/6/2019,704951,13.1
10/7/2019,767968,11.3
10/8/2019,753010,12.8
10/9/2019,780858,11.4
10/10/2019,800332,11.2
10/11/2019,786291,13.5
10/12/2019,761239,11.8
10/13/2019,755343,11.9
10/14/2019,844374,10.6
10/15/2019,831078,11.4
10/16/2019,823309,11.6
10/17/2019,814810,9.5
10/18/2019,818545,9.9
10/19/2019,777873,10.6
10/20/2019,762669,8.3
10/21/2019,793904,10
10/22/2019,801693,9
10/23/2019,834358,7.9
10/24/2019,857225,9.7
10/25/2019,857292,9.7
10/26/2019,798196,9.1
10/27/2019,783624,7.2
10/28/2019,894335,4.6
10/29/2019,877979,6.3
10/30/2019,813826,7
10/31/2019,850587,7.6
11/1/2019,893854,10.2
11/2/2019,813926,9.7
11/3/2019,803911,8.4
11/4/2019,906318,8.5
11/5/2019,875674,8.8
11/6/2019,889375,4.7
11/7/2019,929156,6.6
11/8/2019,904577,4.9
11/9/2019,916748,2.4
11/10/2019,867701,5
11/11/2019,925955,5.5
11/12/2019,935352,5.5
11/13/2019,945353,5
11/14/2019,933176,4.5
11/15/2019,909430,5.9
11/16/2019,872182,6.7
11/17/2019,876724,5.8
11/18/2019,918887,4.8
11/19/2019,939976,2.2
11/20/2019,904997,3.3
11/21/2019,949132,4.6
11/22/2019,960931,6.2
11/23/2019,859244,7.8
11/24/2019,864362,8.6
11/25/2019,922348,9.5
11/26/2019,912483,10.8
11/27/2019,936827,8.9
11/28/2019,922211,7.7
11/29/2019,959901,2.9
11/30/2019,943436,1.9
12/1/2019,905216,2.5
12/2/2019,966118,1.5
12/3/2019,942243,3.8
12/4/2019,910206,4.2
12/5/2019,892330,5.9
12/6/2019,859140,8
12/7/2019,819614,9.1
12/8/2019,758802,8.3
12/9/2019,908896,6.6
12/10/2019,936711,6.3
12/11/2019,913725,4.7
12/12/2019,977386,4.1
12/13/2019,968310,5.7
12/14/2019,885337,5
12/15/2019,874588,4.8
12/16/2019,959280,5.1
12/17/2019,978031,3.6
12/18/2019,1004343,5.5
12/19/2019,909141,6.8
12/20/2019,907757,7.7
12/21/2019,847979,6.2
12/22/2019,857203,6.9
12/23/2019,874748,7
12/24/2019,855752,7.7
12/25/2019,778701,5.4
12/26/2019,768397,4.3
12/27/2019,852715,6.2
12/28/2019,816217,7.1
12/29/2019,788411,7.9
12/30/2019,813999,6.3
12/31/2019,847542,5.2
